Data Source,Initial Capital,Final Value,Total Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Max Drawdown
Yahoo Finance,"$100,000.00","$374,121.47",274.12%,14.13%,16.34%,0.743,-28.95%
CRSP,"$100,000.00","$258,688.24",158.69%,9.99%,17.29%,0.462,-30.22%
