Open,High,Low,Close,Volume,Dividends,Stock Splits
41.792360377722574,44.72428659023635,37.76717534286625,37.995765686035156,573576400,0.0,0.0
36.30618150999695,36.43538606880356,32.79781083674485,33.82149887084961,168192700,0.0,0.0
32.4102025271521,33.384197714086056,30.75043436769169,30.81006622314453,101786600,0.0,0.0
31.17779871843652,32.300874441862106,31.167859760359534,31.803937911987305,73600000,0.0,0.0
32.748117403003555,33.00652272503711,31.57534691333061,32.8276252746582,50237200,0.0,0.0
32.69842694075221,32.74811983814711,30.919393158209346,31.71449089050293,37149800,0.0,0.0
31.287123865151255,31.495838196106117,28.474463145999607,28.663299560546875,78063400,0.0,0.0
28.524157981165423,29.36894857750882,27.689304447378756,28.017282485961914,57267900,0.0,0.0
28.375076065677383,29.488214764666093,26.66561502702373,29.418643951416016,111639200,0.0,0.0
28.7129929523706,28.971400183150042,27.222183317947824,27.550161361694336,41855500,0.0,0.0
27.03334675762239,27.480588476832004,26.278003038984394,26.735183715820312,35230300,0.0,0.0
26.536414836783095,27.589919883646576,25.592234551379747,25.71150016784668,42473400,0.0,0.0
25.910267134581254,27.003527743160408,25.36363777812277,26.645732879638672,61489200,0.0,0.0
26.834574801524457,27.182430779935995,25.98978225271432,26.148801803588867,26159500,0.0,0.0
26.387330516164095,27.589917974302555,26.27800576226971,26.933961868286133,38034000,0.0,0.0
27.013471444048065,27.898017905694353,26.675554434858185,26.844512939453125,28219600,0.0,0.0
27.311632193030547,27.599856300470993,26.794817728720947,27.23212242126465,15816800,0.0,0.0
27.49053044377129,27.927835148887485,26.93396202540866,27.102920532226562,17102800,0.0,0.0
27.48058681386804,28.14648176923559,27.212240661183603,28.116666793823242,16855000,0.0,0.0
28.335320365553475,29.915578637849663,28.176300832110293,29.826129913330078,43563800,0.0,0.0
29.776437331153133,31.883451044587748,29.229807881387792,31.217554092407227,42978900,0.0,0.0
31.346758900190594,31.98283708602546,30.511905333451068,31.71449089050293,30849000,0.0,0.0
31.724426387314267,31.734365344841205,30.959143718701,31.406387329101562,15553600,0.0,0.0
31.47595994542711,32.30087451095737,31.316940407180006,31.64491844177246,21875300,0.0,0.0
32.21141803278425,33.24504667833343,31.863564061360943,32.847496032714844,74834000,0.0,0.0
32.658664934327454,32.81768445073396,31.356690037213706,31.863567352294922,24352900,0.0,0.0
32.48970990862576,33.23511472524023,32.30087538662708,32.89719772338867,24858700,0.0,0.0
32.261122111880866,32.698428732093404,31.704553668784474,32.03253173828125,28568000,0.0,0.0
31.764180411787077,31.99277074856755,30.71067555455603,31.167858123779297,17713300,0.0,0.0
31.724428041433136,31.793998852086812,30.571535447468847,30.909452438354492,19526900,0.0,0.0
31.05853291481175,31.53559152542428,30.362821019255005,30.58147430419922,14122000,0.0,0.0
30.720614570901766,31.24736794835651,30.611287933248704,31.008838653564453,8763600,0.0,0.0
31.12810105927557,31.43620114861786,30.829939927094287,31.27718162536621,10032100,0.0,0.0
31.24736703952227,31.704547700660964,31.068469599715907,31.53558921813965,10945600,0.0,0.0
31.903323857362583,32.67854742585714,31.79399910930624,31.9728946685791,17785200,0.0,0.0
32.231300660538366,32.28099355068117,30.969081536023918,31.27718162536621,14269500,0.0,0.0
31.28712220209537,31.366631967836998,30.362819990560027,30.78024673461914,13030300,0.0,0.0
30.511902521079787,31.20761249879542,30.41251483978831,30.621227264404297,11300700,0.0,0.0
30.849821219915533,30.879636199001485,30.372760702253345,30.531780242919922,8108300,0.0,0.0
30.313128209747045,30.313128209747045,28.037158001457914,28.076913833618164,24672100,0.0,0.0
28.305502315755206,28.41482895132706,26.983651314157193,27.917892456054688,30438600,0.0,0.0
28.136546735160355,29.110543807111707,27.977527191915744,28.9316463470459,16841800,0.0,0.0
29.22980877213408,29.319257506008807,28.454587043773966,28.82232093811035,13685100,0.0,0.0
28.82232105889947,29.289440752243106,28.544035897271566,28.583791732788086,11869100,0.0,0.0
27.94771143457126,28.822318898076595,27.83838479075968,28.573850631713867,12390700,0.0,0.0
28.64341819498521,29.26955921678934,27.9278303514427,28.275686264038086,11539800,0.0,0.0
28.216056173089246,29.30931694171351,27.907956048654327,29.160236358642578,17230200,0.0,0.0
27.57997494944461,28.05703352063822,26.566224063911488,26.685489654541016,64597400,0.0,0.0
23.047915266908458,24.389644188247303,22.143490993814915,23.564727783203125,123102300,0.0,0.0
23.852954046409295,23.892709879737964,22.888897836138742,23.008161544799805,29285900,0.0,0.0
23.226813466380257,23.226813466380257,21.477596712036064,21.576982498168945,56179400,0.0,0.0
21.36827162874517,21.447781400839585,20.712315535050646,20.7520694732666,44604400,0.0,0.0
20.642744141578195,20.71231495324877,19.698563965774063,19.917217254638672,56374500,0.0,0.0
20.23525796663534,22.02422888067099,19.778075331302837,20.960784912109375,80647000,0.0,0.0
21.25894452344056,22.01428828990276,21.169495794802774,21.78569793701172,27778900,0.0,0.0
22.063981591988036,22.31244984462005,20.374396715825387,20.593048095703125,36782900,0.0,0.0
20.583109138118367,21.020413793536168,20.096111590439094,20.593048095703125,29537400,0.0,0.0
20.622866045935602,21.040292807993083,20.483724423803913,20.88127326965332,15610700,0.0,0.0
21.278821781125256,21.686309578675395,21.000536645572456,21.67637062072754,25794700,0.0,0.0
22.01428647867938,22.312449514828163,21.268881731800878,21.4676570892334,24973100,0.0,0.0
21.27882263702746,21.467659054307546,20.12593000797661,20.2551326751709,39308800,0.0,0.0
20.5135381673552,21.278820834327465,20.275008874207153,21.07010841369629,47861100,0.0,0.0
20.314763971089306,20.35451790401481,19.569359246029233,19.74825668334961,157565300,0.0,0.0
19.887400063637735,19.956970874201367,18.88358805032517,18.93328094482422,129293400,0.0,0.0
18.933282389209054,20.006665294971636,18.63512120814378,19.887401580810547,101186600,0.0,0.0
19.460035034918185,19.85758389196025,18.973037448083847,19.0426082611084,70640600,0.0,0.0
19.24138636599829,19.410344891158253,18.84383555691879,19.32089614868164,49892200,0.0,0.0
19.380528011778466,19.609118400035253,19.24138636599829,19.32089614868164,32813700,0.0,0.0
19.400403307432804,19.559422851291885,19.13205711629717,19.29107666015625,29622200,0.0,0.0
19.37058412439299,19.41033995345274,18.98297426937176,19.03266716003418,20704000,0.0,0.0
18.982978683288568,19.261261968764106,18.83389808097486,19.221508026123047,25417000,0.0,0.0
19.20162638743123,19.26125823767291,18.953158133151504,18.982975006103516,16124700,0.0,0.0
19.151933256539348,19.330830700700766,18.94321893979692,18.97303581237793,30647500,0.0,0.0
18.565550633073507,18.58542855091236,17.91953346861133,17.94934844970703,58764200,0.0,0.0
17.969226293650927,18.158062721018343,17.442472847062895,17.621370315551758,46622400,0.0,0.0
18.158061604268973,18.635120227124368,18.06861287552578,18.466161727905273,60781800,0.0,0.0
18.625178743397253,19.14199312924497,18.605300829557986,18.843830108642578,46066500,0.0,0.0
18.982974086461553,19.30101313322603,18.664935039697077,18.86370849609375,36371700,0.0,0.0
18.943218071958462,19.082361575299657,18.436342635276507,18.69474983215332,24797800,0.0,0.0
18.80407952833205,19.46003563665017,18.73450871315627,19.310955047607422,50508200,0.0,0.0
20.63280882153852,21.030357740942748,20.155750118253447,20.801767349243164,121584000,0.0,0.0
20.831577151758992,21.348391566263363,20.483723118594803,20.58310890197754,65041600,0.0,0.0
21.00053542998136,21.944715528088636,20.771945097399524,21.865205764770508,72819800,0.0,0.0
22.531102931017436,22.61061270205531,21.368271344799524,21.38814926147461,50667600,0.0,0.0
21.467659588011067,21.84533053629798,21.239069227319977,21.736005783081055,36760500,0.0,0.0
21.855270217184124,23.22681621798372,21.63661880786158,23.147306442260742,78782800,0.0,0.0
22.878959133800496,23.097610532567263,22.40190050249347,22.45159339904785,57248900,0.0,0.0
22.82926493996454,23.097611137981833,22.461532946233465,22.719940185546875,51218100,0.0,0.0
21.64655658343912,21.845330064048987,20.235256719760425,20.662622451782227,79106500,0.0,0.0
21.070107762588695,21.080044824124933,20.096110809421358,20.155744552612305,46291700,0.0,0.0
20.02654036213793,20.652681407182772,19.67868443663105,20.493661880493164,38271900,0.0,0.0
20.861394417977067,20.871333375635423,20.036479888957018,20.195499420166016,30215900,0.0,0.0
20.443966745000683,21.815512508888666,20.374395940218093,21.52728843688965,65486000,0.0,0.0
21.94471529076826,22.4515907373131,21.596859369139967,21.855266571044922,51262700,0.0,0.0
21.944716147188206,22.352203932647356,21.68630893519859,22.13355255126953,29341400,0.0,0.0
22.163368667906173,22.352205081694905,21.66643213368709,21.69624900817871,32000100,0.0,0.0
22.18324362824083,22.26275338729444,21.278819408132716,21.81551170349121,46892100,0.0,0.0
21.358333395620008,21.497475027594955,20.752070178021917,20.78188705444336,40529300,0.0,0.0
20.275007247924805,20.622863150070472,20.036477973909474,20.275007247924805,32236700,0.0,0.0
20.26507194335007,20.424091488018497,19.847645164679818,20.10605239868164,27161800,0.0,0.0
19.80789077468139,19.81782973295435,19.33083215155407,19.51966667175293,39321800,0.0,0.0
19.758196658676983,19.837706431915947,19.48985235878455,19.62899398803711,21817300,0.0,0.0
19.628992411840336,19.678685305250934,19.36064623783342,19.400402069091797,18809400,0.0,0.0
19.55942160280055,19.75819507210531,19.370585195648015,19.400402069091797,20189700,0.0,0.0
19.55942064946821,19.569359606798375,19.18174785357103,19.360645294189453,21834700,0.0,0.0
