permno,dlstdt,dlstcd,dlret,dlretx,dlprc,ticker,comnam
49139,1994-08-12,580,,,-1.25000,THLM,LEHMAN T H & CO INC
75093,1990-08-09,231,0.035294,0.035294,0.00000,SLH,SHEARSON LEHMAN HUTTON HLDGS INC
80599,2008-09-17,574,-0.600000,-0.600000,0.05200,LEH,LEHMAN BROTHERS HOLDINGS INC
84334,2002-03-06,233,0.044344,0.044344,0.00000,SLHN,STEARNS AND LEHMAN INC
