date,AAPL_value,AAPL_shares,MSFT_value,MSFT_shares,JPM_value,JPM_shares,XOM_value,XOM_shares,JNJ_value,JNJ_shares,total_value,returns,cumulative_returns
2015-03-04,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,100000.0,0.0,1.0
2015-03-05,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,100000.0,0.0,1.0
2015-03-06,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,100000.0,0.0,1.0
2015-03-09,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,100000.0,0.0,1.0
2015-03-10,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,100000.0,0.0,1.0
2015-03-11,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,100000.0,0.0,1.0
2015-03-12,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,100000.0,0.0,1.0
2015-03-13,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,100000.0,0.0,1.0
2015-03-16,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,100000.0,0.0,1.0
2015-03-17,20000.0,157.43073047858942,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,100000.0,0.0,1.0
2015-03-18,20225.125944584383,157.43073047858942,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,100225.12594458438,0.0022512594458437007,1.0022512594458437
2015-03-19,20071.63098236776,157.43073047858942,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,100071.63098236776,-0.0015315018142405545,1.0007163098236775
2015-03-20,19820.52896725441,157.43073047858942,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,99820.52896725442,-0.0025092227702133707,0.9982052896725441
