Date,AAPL_value,AAPL_shares,MSFT_value,MSFT_shares,JPM_value,JPM_shares,XOM_value,XOM_shares,JNJ_value,JNJ_shares,total_value,returns,cumulative_returns
2015-01-02 00:00:00-05:00,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,100000.0,,
2015-01-05 00:00:00-05:00,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,100000.0,0.0,1.0
2015-01-06 00:00:00-05:00,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,100000.0,0.0,1.0
2015-01-07 00:00:00-05:00,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,100000.0,0.0,1.0
2015-01-08 00:00:00-05:00,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,100000.0,0.0,1.0
2015-01-09 00:00:00-05:00,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,100000.0,0.0,1.0
2015-01-12 00:00:00-05:00,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,100000.0,0.0,1.0
2015-01-13 00:00:00-05:00,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,100000.0,0.0,1.0
2015-01-14 00:00:00-05:00,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,100000.0,0.0,1.0
2015-01-15 00:00:00-05:00,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,100000.0,0.0,1.0
2015-01-16 00:00:00-05:00,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,100000.0,0.0,1.0
2015-01-20 00:00:00-05:00,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,100000.0,0.0,1.0
2015-01-21 00:00:00-05:00,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,100000.0,0.0,1.0
2015-01-22 00:00:00-05:00,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,100000.0,0.0,1.0
2015-01-23 00:00:00-05:00,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,100000.0,0.0,1.0
2015-01-26 00:00:00-05:00,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,100000.0,0.0,1.0
2015-01-27 00:00:00-05:00,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,100000.0,0.0,1.0
2015-01-28 00:00:00-05:00,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,100000.0,0.0,1.0
2015-01-29 00:00:00-05:00,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,100000.0,0.0,1.0
2015-01-30 00:00:00-05:00,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,100000.0,0.0,1.0
2015-02-02 00:00:00-05:00,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,100000.0,0.0,1.0
2015-02-03 00:00:00-05:00,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,100000.0,0.0,1.0
2015-02-04 00:00:00-05:00,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,100000.0,0.0,1.0
2015-02-05 00:00:00-05:00,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,100000.0,0.0,1.0
2015-02-06 00:00:00-05:00,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,100000.0,0.0,1.0
2015-02-09 00:00:00-05:00,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,100000.0,0.0,1.0
2015-02-10 00:00:00-05:00,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,100000.0,0.0,1.0
2015-02-11 00:00:00-05:00,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,100000.0,0.0,1.0
2015-02-12 00:00:00-05:00,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,100000.0,0.0,1.0
2015-02-13 00:00:00-05:00,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,100000.0,0.0,1.0
